participant,condition,word,exposure,synchrony
LexVar103,naturalv,bog,1,10055.319915419108
LexVar103,naturalv,bog,1,9230.818941616033
LexVar104,naturalv,bog,1,9158.261700863994
LexVar104,naturalv,bog,1,10219.25628588004
LexVar110,naturalv,bog,1,10255.67671676048
LexVar110,naturalv,bog,1,8795.418507317283
LexVar116,naturalv,bog,1,10646.778666888446
LexVar116,naturalv,bog,1,9203.805614515019
LexVar121,naturalv,bog,1,9764.295650337319
LexVar121,naturalv,bog,1,10389.024305736875
LexVar127,naturalv,bog,1,5779.1654462779925
LexVar127,naturalv,bog,1,7850.945089899825
LexVar133,naturalv,bog,1,9326.71405531071
LexVar133,naturalv,bog,1,9655.080412995198
LexVar139,naturalv,bog,1,10105.806787130428
LexVar139,naturalv,bog,1,8772.712125069107
LexVar140,naturalv,bog,1,10389.007488059686
LexVar140,naturalv,bog,1,8484.571035193725
LexVar146,naturalv,bog,1,9094.655013519887
LexVar146,naturalv,bog,1,10039.626380649603
LexVar151,naturalv,bog,1,10715.848911056135
LexVar151,naturalv,bog,1,7316.331545470753
LexVar157,naturalv,bog,1,10142.91147495778
LexVar157,naturalv,bog,1,10465.289270380015
LexVar163,naturalv,bog,1,10644.66208513858
LexVar163,naturalv,bog,1,10397.975005622784
LexVar169,naturalv,bog,1,9910.397703954497
LexVar169,naturalv,bog,1,10358.51392305169
LexVar170,naturalv,bog,1,8123.779596711996
LexVar170,naturalv,bog,1,10644.954566947721
LexVar175,naturalv,bog,1,8369.519402551367
LexVar175,naturalv,bog,1,10680.799302794623
LexVar176,naturalv,bog,1,10291.370921847778
LexVar176,naturalv,bog,1,10755.975031303178
LexVar181,naturalv,bog,1,9802.398584729573
LexVar181,naturalv,bog,1,10399.134935118605
LexVar182,naturalv,bog,1,10364.940745803922
LexVar188,naturalv,bog,1,10346.158980293176
LexVar188,naturalv,bog,1,10315.410965233154
LexVar103,naturalv,bog,4,10682.167142499226
LexVar104,naturalv,bog,4,11315.79839726004
LexVar110,naturalv,bog,4,5622.882325785803
LexVar133,naturalv,bog,4,9854.665070537416
LexVar133,naturalv,bog,4,11554.767065490103
LexVar139,naturalv,bog,4,11403.120117915032
LexVar139,naturalv,bog,4,11399.93589621055
LexVar140,naturalv,bog,4,10528.329038324187
LexVar140,naturalv,bog,4,11423.858585723132
LexVar157,naturalv,bog,4,9395.225508280986
LexVar157,naturalv,bog,4,9512.185113763939
LexVar163,naturalv,bog,4,10275.853716127001
LexVar169,naturalv,bog,4,7612.13125284801
LexVar169,naturalv,bog,4,11509.92684136159
LexVar170,naturalv,bog,4,11387.469616548797
LexVar176,naturalv,bog,4,11286.517223241195
LexVar176,naturalv,bog,4,11359.616134361548
LexVar181,naturalv,bog,4,11515.090875362946
LexVar103,naturalv,tan,1,15830.7557883202
LexVar103,naturalv,tan,1,14729.044573367217
LexVar104,naturalv,tan,1,15712.58485068624
LexVar104,naturalv,tan,1,15958.615106931364
LexVar110,naturalv,tan,1,16054.021419870218
LexVar110,naturalv,tan,1,12543.005409057783
LexVar116,naturalv,tan,1,14685.033504099702
LexVar121,naturalv,tan,1,15495.87984829377
LexVar121,naturalv,tan,1,16168.004879082433
LexVar127,naturalv,tan,1,16023.113625297698
LexVar127,naturalv,tan,1,9251.143955206544
LexVar133,naturalv,tan,1,9507.867311591091
LexVar133,naturalv,tan,1,16300.478422431146
LexVar139,naturalv,tan,1,15762.684581727846
LexVar139,naturalv,tan,1,15948.406475178615
LexVar140,naturalv,tan,1,15745.656440388166
LexVar140,naturalv,tan,1,16109.852653610527
LexVar146,naturalv,tan,1,15149.226527748837
LexVar146,naturalv,tan,1,14976.33866621811
LexVar151,naturalv,tan,1,15855.72149825716
LexVar151,naturalv,tan,1,16075.403738343331
LexVar157,naturalv,tan,1,16101.229296501959
LexVar157,naturalv,tan,1,16046.966342722573
LexVar163,naturalv,tan,1,16322.20764388085
LexVar163,naturalv,tan,1,15563.022083277909
LexVar169,naturalv,tan,1,13991.643436130642
LexVar169,naturalv,tan,1,15676.380557802619
LexVar170,naturalv,tan,1,15265.772243879597
LexVar170,naturalv,tan,1,11973.807692222017
LexVar175,naturalv,tan,1,16172.613338923897
LexVar175,naturalv,tan,1,15735.446466696798
LexVar176,naturalv,tan,1,12348.688279628037
LexVar176,naturalv,tan,1,16294.079747060829
LexVar181,naturalv,tan,1,15216.275163892444
LexVar181,naturalv,tan,1,12467.261058625716
LexVar188,naturalv,tan,1,15976.431775168703
LexVar188,naturalv,tan,1,16273.416421922237
LexVar103,naturalv,tan,4,41620.5482821778
LexVar103,naturalv,tan,4,42115.96607142956
LexVar104,naturalv,tan,4,41752.98217122426
LexVar104,naturalv,tan,4,40777.70973881392
LexVar121,naturalv,tan,4,35166.99060820035
LexVar127,naturalv,tan,4,39926.580963717235
LexVar133,naturalv,tan,4,41131.06834607946
LexVar133,naturalv,tan,4,41921.82658559412
LexVar139,naturalv,tan,4,41825.157237241845
LexVar139,naturalv,tan,4,42013.960161102455
LexVar140,naturalv,tan,4,30268.518729799023
LexVar140,naturalv,tan,4,40826.591262436006
LexVar146,naturalv,tan,4,39701.35503887547
LexVar151,naturalv,tan,4,41513.17399276647
LexVar157,naturalv,tan,4,41839.90132310441
LexVar157,naturalv,tan,4,40362.29618798554
LexVar169,naturalv,tan,4,39291.57943182368
LexVar169,naturalv,tan,4,41818.45883379083
LexVar176,naturalv,tan,4,41343.85495761211
LexVar176,naturalv,tan,4,41774.01744592794
LexVar181,naturalv,tan,4,41873.7017778345
LexVar181,naturalv,tan,4,14761.837476749592
LexVar103,stable,mob,1,17115.53057437449
LexVar103,stable,mob,1,17047.143967618642
LexVar104,stable,mob,1,17776.628915424277
LexVar104,stable,mob,1,17380.387066781164
LexVar110,stable,mob,1,17679.967987783162
LexVar110,stable,mob,1,17467.413227821406
LexVar116,stable,mob,1,17817.545691692143
LexVar116,stable,mob,1,17709.186447202745
LexVar121,stable,mob,1,16239.545945375856
LexVar121,stable,mob,1,15455.202897206967
LexVar133,stable,mob,1,15433.280509572489
LexVar133,stable,mob,1,17823.3943298459
LexVar139,stable,mob,1,17131.69447178867
LexVar139,stable,mob,1,15306.758770843342
LexVar140,stable,mob,1,10650.956544599207
LexVar140,stable,mob,1,17756.353115630387
LexVar146,stable,mob,1,17670.657375458417
LexVar146,stable,mob,1,17617.154027484517
